,class,"Resident population (10,000)","Population density.
(person/sq km)","Number of households (10,000)",Average population per household (persons),"Urban residents per capita.
Disposable income (RMB)","The inhabitants of urban towns are per capita.
Consumer expenditure (RMB)","General public expenditure.
(Billions)","Investment in urban infrastructure.
(Billions)",Urban population density.,"A built-up area of the city.
Greening coverage (%)","Gross local product.
(Billions)",Gross domestic product per capita (RMB),"Gross domestic product of the first industry.
(Billions)","The gross value of the secondary industry.
(Billions)","The gross value of the tertiary industry.
(Billions)",Investment in environmental protection (RMB 100 million),"Number of college students per 10,000 population.","The level of education of employed persons.
(Undergraduate and above, %)","The amount of municipal household garbage cleared.
(10,000 tons)"
92,1,2945.0,2840.0,1220.64,2.74,22968,16573,3046.4,2404.16,1832.0,42.34,11456.3,39083,892.3,5244.2,5319.8,1920.62,193.0,5.22,335.29
93,1,2970.0,2896.0,1236.78,2.72,25216,17124,3062.3,2962.1,1847.0,41.28,12832.8,42795,941.2,5900.1,5991.5,1959.85,204.0,5.53,349.8
94,1,2991.4,2952.0,1248.67,2.7,25147,18280,3304.39,3386.23,1872.0,40.55,14322.9,47859,990.8,6637.2,6694.9,1999.08,215.0,5.77,399.37
95,1,3016.55,3008.0,1254.54,2.69,27239,19742,3792.0,4356.14,1904.0,40.04,15789.8,52330,1067.7,7195.0,7527.1,2038.31,226.0,8.4,440.03
96,1,3048.43,3064.0,1260.88,2.69,29610,21031,4001.81,5660.87,1953.0,40.78,17674.3,57902,1237.0,7898.9,8538.4,2077.54,237.0,8.6,494.13
97,1,3075.16,3120.0,1260.93,2.69,32193,22759,4336.7,5659.12,2017.0,40.44,19424.7,63689,1276.1,8584.6,9564.0,2116.77,248.0,8.7,529.74
98,1,3101.79,3176.0,1269.58,2.69,34889,24154,4540.95,6309.92,2026.0,40.42,20363.2,64933,1378.3,8328.8,10656.1,2156.0,259.0,8.8,549.2
99,1,3128.42,3232.0,1278.23,2.69,37939,25785,4847.8,6265.75,2035.0,40.4,23605.8,75828,1551.4,9496.8,12557.5,2195.23,270.0,8.9,568.66
100,0,1001.14,763.0,293.04,3.1,8141,6158,187.05,280.36,2044.0,25.0,1701.9,17353,73.7,863.8,764.4,2234.46,129.0,9.0,224.6
101,0,1004.06,854.0,295.63,3.51,8959,7045,234.67,309.38,2053.0,26.05,1919.1,19141,78.7,959.1,881.3,2273.69,169.0,3.6,218.6
102,0,1007.18,856.0,299.67,3.09,9338,7265,265.21,361.85,831.0,27.3,2150.8,21387,84.2,1069.1,997.5,2312.92,215.0,5.4,162.6
103,0,1011.3,860.0,303.27,3.07,10313,7964,312.08,501.37,841.0,31.04,2578.0,25544,89.9,1337.3,1150.8,2352.15,243.0,4.9,171.8
104,0,1023.67,870.0,316.62,2.96,11467,8930,375.02,332.63,852.0,35.01,3141.4,30874,105.3,1708.0,1328.1,2391.38,281.0,7.57,181.6
105,0,1043.0,887.0,322.95,2.92,12639,9813,442.12,420.8,864.0,36.4,3947.9,38206,112.4,2165.8,1669.7,2430.61,330.0,6.5,144.8
106,0,1075.0,914.0,328.66,2.9,14283,10745,543.12,518.2,2590.0,37.0,4518.9,42672,103.4,2497.9,1917.7,2469.84,337.0,7.54,155.2
107,0,1115.0,948.0,333.42,2.89,16357,12280,674.33,734.9,2912.0,37.5,5318.0,48566,107.5,2941.8,2268.7,2509.07,339.0,7.77,165.01
108,0,1176.0,1000.0,337.49,2.88,19423,13732,867.72,1040.3,2858.0,38.0,6805.5,59411,116.6,3776.9,2912.0,2548.3,337.0,7.17,173.8
109,0,1228.16,1044.0,341.9,2.88,21402,15174,1124.28,1606.8,2716.0,30.33,7618.2,63375,119.5,4064.0,3434.7,2587.53,335.0,7.89,188.35
110,0,1299.29,1105.0,345.83,2.86,24293,17015,1376.84,1673.7,2752.0,32.06,9343.8,73938,131.7,4937.5,4274.6,2626.76,333.0,11.26,183.71
111,0,1354.58,1152.0,350.27,2.87,26921,18928,1796.33,1567.8,2636.0,34.53,11461.7,86377,141.1,6058.9,5261.7,2665.99,331.0,13.47,189.9
112,0,1413.15,1202.0,351.24,2.84,29626,20572,2143.21,1905.2,2782.0,34.88,13087.2,94570,147.9,6828.0,6111.2,2705.22,329.0,14.07,185.77
113,0,1472.21,1252.0,356.6,2.82,32658,22306,2549.21,2113.4,2843.0,34.93,14659.9,101615,154.8,7460.1,7045.0,2744.45,327.0,16.51,199.95
